neighbourhood,listing_count,avg_availability_rate,avg_occupancy_proxy,avg_price
De Baarsjes - Oud-West,1808,0.2256,0.7744,271.28
Centrum-West,1207,0.3238,0.6762,315.88
De Pijp - Rivierenbuurt,1199,0.2662,0.7338,280.47
Centrum-Oost,923,0.3641,0.6359,307.72
Westerpark,736,0.2199,0.7801,255.04
Zuid,735,0.269,0.731,309.58
Oud-Oost,654,0.2171,0.7829,251.66
Bos en Lommer,547,0.1832,0.8168,204.67
Oud-Noord,485,0.2178,0.7822,370.5
Oostelijk Havengebied - Indische Buurt,436,0.2042,0.7958,216.6
Watergraafsmeer,318,0.2273,0.7727,268.3
Noord-West,298,0.2456,0.7544,196.99
Slotervaart,206,0.1838,0.8162,193.24
IJburg - Zeeburgereiland,188,0.242,0.758,1730.39
Noord-Oost,188,0.2736,0.7264,191.05
Geuzenveld - Slotermeer,139,0.2835,0.7165,195.85
Buitenveldert - Zuidas,125,0.3648,0.6352,3013.22
De Aker - Nieuw Sloten,67,0.2925,0.7075,185.71
Bijlmer-Centrum,66,0.3364,0.6636,144.51
Gaasperdam - Driemond,60,0.2958,0.7042,140.87
Osdorp,57,0.315,0.685,168.62
Bijlmer-Oost,38,0.1912,0.8088,157.36
